country,year,countryCode,continent,stunt_rural,stunt_urban,waste_rural,waste_urban,stunt_all,waste_all,electricity,agLand,agLabor,foodExport,foodImport,gdpPPP,gdpPPPpercap,giniIndex,urbanPop,urbanPopGrowth,clusterPrecipAnom,nationalTempAnom,nationalPrecipAnom
Madagascar,1997,MDG,Africa,0.603699754,0.5411958,0.102330387,0.056514222,0.591017235,0.093033945,10.9,64.46676067,76.68018,54.90406157,15.18389819,22396637591,1515.446552,39.5,26.321,4.176364399,107.1353181,99.40072038,104.4422956
Madagascar,2003,MDG,Africa,0.566133835,0.495791505,0.149637197,0.138076038,0.551571577,0.147243807,20.3,70.23248616,77.98971,53.35511182,18.31887107,25940731552,1463.567922,NA,27.936,3.915457731,NA,100.4413553,100.5683026
Madagascar,2004,MDG,Africa,0.566133835,0.495791505,0.149637197,0.138076038,0.551571577,0.147243807,15.32857895,70.23248616,80.25998,37.33415046,14.58520506,27304436749,1496.070071,NA,28.211,3.906621696,NA,100.0448671,105.1314658
Malawi,2000,MWI,Africa,0.59158254,0.460973483,0.08215112,0.066191497,0.57383576,0.079982573,4.8,50.16970725,74.32322,89.23553054,9.837549174,12537522483,1116.492154,NA,14.61,2.905049954,103.5258364,97.98582893,104.0925731
Malawi,2004,MWI,Africa,0.584023522,0.47946555,0.07132677,0.075587435,0.570621534,0.071872892,6.9,52.82138311,73.36841,78.23105937,17.37043436,13501870606,1087.865487,39.9,14.964,3.236553601,105.5773718,100.1407933,112.4188589
Malawi,2005,MWI,Africa,0.584023522,0.47946555,0.07132677,0.075587435,0.570621534,0.071872892,6.619356632,54.9427238,72.82356,79.49595986,18.23450703,13943209764,1093.100857,NA,15.054,3.335982869,70.17993996,103.2057448,72.61330143
Malawi,2010,MWI,Africa,0.485787451,0.394397591,0.055840816,0.032877159,0.472121534,0.052406962,8.7,58.17776835,67.77662,77.80174059,14.40300451,19939126017,1354.705417,45.5,15.544,3.634122455,101.1737715,102.3877769,85.05703147
Malawi,2015,MWI,Africa,0.382809955,0.243030614,0.032157497,0.035631837,0.364638739,0.032609159,10.8,60.52184981,64.73297,81.11115954,13.26127392,24402550929,1440.618365,NA,16.313,3.874891639,87.73459876,102.056171,81.84474714
Malawi,2016,MWI,Africa,0.382809955,0.243030614,0.032157497,0.035631837,0.364638739,0.032609159,11,61.1158252,64.25194,83.60524937,17.56109077,25012614702,1437.042114,44.7,16.506,3.893951083,87.10057929,100.4663088,91.21489546
Maldives,2009,MDV,Asia,0.200573284,0.156205489,0.132383174,0.0901433,0.187882612,0.120301159,99.9,23.33333333,14.02111,97.66415292,22.21880812,5591675015,16020.29302,38.4,36.021,4.692119189,NA,99.69105401,116.8863965
Maldives,2016,MDV,Asia,0.171681727,0.134351579,0.094746017,0.113140676,0.162178059,0.099429008,100,21.33333333,8.551278,98.56063769,20.93336774,8482839325,18674.30264,31.3,38.954,5.293978564,NA,102.6555875,102.256382
Maldives,2017,MDV,Asia,0.171681727,0.134351579,0.094746017,0.113140676,0.162178059,0.099429008,99.8,21.33333333,8.716962,98.42132153,20.11873836,9081264533,19221.967,NA,39.38,5.014314947,NA,101.7671995,94.81860384
Mali,1995,MLI,Africa,0.391003586,0.301093558,0.284657879,0.287242537,0.363099681,0.285460037,NA,29.02744655,68.98966,NA,NA,13971789576,1408.29122,NA,25.519,3.911328395,97.8435185,99.14663018,96.12841821
Mali,1996,MLI,Africa,0.391003586,0.301093558,0.284657879,0.287242537,0.363099681,0.285460037,6.2,30.03630582,68.50761,19.05953285,19.93611314,14957609065,1476.287785,NA,25.975,3.873767083,90.04966036,100.4088366,90.36191976
Mali,2001,MLI,Africa,0.480741489,0.301105181,0.143007219,0.100491588,0.43957936,0.133265124,10.8,32.21547464,65.30138,9.977675967,14.32090966,20557608172,1774.682365,39.9,29.075,5.525103505,90.855672,101.1062089,94.04577117
Mali,2006,MLI,Africa,0.420700815,0.267640389,0.173505176,0.155932551,0.378498969,0.168660049,16.6,33.16368762,63.50759,5.849614759,17.25490551,26191614230,1922.526179,38.9,32.832,5.685134218,96.3992824,100.5970866,97.69040502
Mali,2012,MLI,Africa,0.422259267,0.234051582,0.15307878,0.135192811,0.386935735,0.149721874,25.6,33.95290897,72.34222,6.183237464,13.68446918,32083734773,1942.7395,NA,37.599,5.06877959,124.9495922,99.32998663,128.7401979
Mali,2013,MLI,Africa,0.422259267,0.234051582,0.15307878,0.135192811,0.386935735,0.149721874,32.4249649,34.10780288,73.49532,NA,NA,32820078395,1930.134951,NA,38.398,5.022845481,127.6481495,100.6452335,117.5636965
Mali,2018,MLI,Africa,0.30000974,0.180744406,0.100672062,0.079620799,0.275942535,0.096424012,50.9,34.88309198,63.00288,7.142161902,14.63047655,43567915125,2185.575591,36,42.356,5.043163163,114.5964153,100.175737,112.3077625
Moldova,2005,MDA,Europe,0.132499766,0.109831683,0.061444496,0.068870481,0.124568263,0.064042829,98.6,75.9805412,40.64518,71.30128087,11.53870677,20604206161,7131.987934,36.3,42.775,-0.744693684,112.2023308,98.37673821,116.6224608
Morocco,1992,MAR,Africa,0.359113712,0.219722038,0.030518395,0.023163468,0.305149885,0.027671022,49.2,68.59959668,42.97029,NA,NA,1.07E+11,4182.366699,NA,49.844,3.106965972,NA,98.02546286,87.71003585
Morocco,2003,MAR,Africa,0.321777155,0.193183952,0.125342475,0.097882438,0.255312411,0.111149467,75.0980072,69.18216446,43.89529,21.47435485,11.01545358,1.63E+11,5443.774902,NA,54.317,1.823103416,118.7324042,101.0781777,123.6466945
Morocco,2004,MAR,Africa,0.321777155,0.193183952,0.125342475,0.097882438,0.255312411,0.111149467,78.2,67.31122563,45.82528,19.0289972,10.91165504,1.71E+11,5620.288574,NA,54.644,1.846096263,101.6731458,99.89304196,97.98980234
Mozambique,1997,MOZ,Africa,0.472996378,0.357238582,0.10801744,0.12924374,0.440923075,0.113898664,6.6,46.78781251,85.04539,71.710624,23.80125216,8876586211,537.2675521,NA,28.535,4.559042438,NA,99.04522599,118.5943211
Mozambique,2003,MOZ,Africa,0.536424238,0.388496057,0.068664152,0.042648611,0.495678155,0.0614983,8.1,48.46862586,80.48325,17.0128813,13.57093441,14647829115,763.4344566,NA,29.637,3.205892744,NA,101.1964517,95.56384465
Mozambique,2004,MOZ,Africa,0.536424238,0.388496057,0.068664152,0.042648611,0.495678155,0.0614983,10.68801785,48.75040566,79.98763,16.03506298,14.74011833,15849640275,804.7785879,NA,29.818,3.220337146,NA,99.7940319,118.5622423
Mozambique,2011,MOZ,Africa,0.463429353,0.361518867,0.075198609,0.045090381,0.436077407,0.067117805,20.2,50.7035886,75.67738,20.49719238,12.33391276,25796795780,1085.704491,NA,32.336,4.509873374,89.60515154,100.3213732,106.7113252
Myanmar,2015,MMR,Asia,0.314498856,0.199699338,0.069420304,0.099612251,0.29039907,0.07575848,60.5,19.52134486,51.68998,31.90165251,11.13580183,2.17E+11,4214.372999,38.1,29.858,1.501582168,97.35181792,100.3202497,91.74659041
Myanmar,2016,MMR,Asia,0.314498856,0.199699338,0.069420304,0.099612251,0.29039907,0.07575848,55.6,19.5471675,51.38179,37.32330949,18.81817625,2.30E+11,4433.663837,NA,30.082,1.537545234,101.1023366,100.9904337,110.8038654
Namibia,1992,NAM,Africa,0.41308869,0.30603357,0.107236071,0.079389637,0.380741117,0.098822045,26.4,46.96036634,46.2435,NA,NA,9878230874,6758.102709,NA,28.336,4.685256635,NA,101.3235634,43.48789043
Namibia,2000,NAM,Africa,0.31372019,0.273471648,0.107735576,0.066691451,0.301980183,0.095763507,36.5,47.15227927,31.28954,28.80044848,16.89974383,12211898182,6713.002555,NA,32.373,3.897629183,111.7106194,99.06817588,107.9711252
Namibia,2006,NAM,Africa,0.320719616,0.25138134,0.096764703,0.07316622,0.294979817,0.088004459,40.51324081,47.15227927,30.52703,25.56988124,16.21408003,16634408910,8373.482632,NA,37.61,3.834512088,168.061452,97.41980828,176.628917
Namibia,2007,NAM,Africa,0.320719616,0.25138134,0.096764703,0.07316622,0.294979817,0.088004459,43.7,47.1377036,30.59103,23.57849068,15.39558277,17528349389,8714.103456,NA,38.598,3.840476166,68.82259417,100.7226321,114.2172472
Namibia,2013,NAM,Africa,0.247611183,0.170171504,0.105676595,0.093925124,0.214930486,0.100717299,47.4,47.13891824,31.39222,23.77069016,13.06519565,22314390766,10122.15448,NA,44.756,4.098142715,71.39135699,102.5074,72.9306592
